threshold,accuracy,variant,use_cot
-0.9002280329484368,0.575,plain,True
-0.8845483911636464,0.57,plain,True
-0.8616003290083195,0.565,plain,True
-0.8543747915702689,0.57,plain,True
-0.8391931187785502,0.575,plain,True
-0.8354814774151286,0.58,plain,True
-0.8333541984840201,0.585,plain,True
-0.8327275742291658,0.59,plain,True
-0.8300572210483322,0.585,plain,True
-0.8285632315206302,0.58,plain,True
-0.8263779508966873,0.58,plain,True
-0.7998064546240449,0.585,plain,True
-0.7857731234239012,0.59,plain,True
-0.7807602552211657,0.585,plain,True
-0.7656296704687098,0.58,plain,True
-0.7577173657813149,0.575,plain,True
-0.7528120351064992,0.58,plain,True
-0.7403173616822658,0.575,plain,True
-0.728343141650006,0.58,plain,True
-0.7208967858887901,0.575,plain,True
-0.7021879845539024,0.58,plain,True
-0.672072877351879,0.585,plain,True
-0.6514753837032649,0.59,plain,True
-0.6439776912751534,0.585,plain,True
-0.6285055138600709,0.58,plain,True
-0.6048945204861241,0.575,plain,True
-0.5947536470387705,0.58,plain,True
-0.5704772251136802,0.575,plain,True
-0.5601937606635006,0.57,plain,True
-0.5541285319420809,0.565,plain,True
-0.5420794770359713,0.57,plain,True
-0.4861840926665303,0.565,plain,True
-3.0392245859595053,0.435,anchored,True
-2.953780840346547,0.44,anchored,True
-2.9191294612217638,0.435,anchored,True
-2.899029693620186,0.44,anchored,True
-2.837421544569072,0.435,anchored,True
-2.7524731904504898,0.44,anchored,True
-2.7291343270291004,0.445,anchored,True
-2.7271887905085235,0.45,anchored,True
-2.7250699894195187,0.455,anchored,True
-2.7176817982692336,0.46,anchored,True
-2.711379082708076,0.455,anchored,True
-2.7029799749889327,0.46,anchored,True
-2.684898128953319,0.465,anchored,True
-2.671354079017175,0.47,anchored,True
-2.6709560530938696,0.475,anchored,True
-2.670416386454703,0.47,anchored,True
-2.6686419483665413,0.465,anchored,True
-2.6659502523243948,0.47,anchored,True
-2.6654278155530133,0.465,anchored,True
-2.661079929402084,0.46,anchored,True
-2.638044313372666,0.465,anchored,True
-2.6379600015693505,0.47,anchored,True
-2.6372702486819604,0.47,anchored,True
-2.6348542570647893,0.475,anchored,True
-2.608351624771047,0.47,anchored,True
-2.6030272187752876,0.475,anchored,True
-2.58487527226016,0.47,anchored,True
-2.5765037905854395,0.465,anchored,True
-2.5701191355780706,0.47,anchored,True
-2.5371442331994123,0.475,anchored,True
-2.5184155043213314,0.47,anchored,True
-2.5144647813866996,0.475,anchored,True
-2.5128477042970725,0.48,anchored,True
-2.511588006807117,0.475,anchored,True
-2.51014394806005,0.48,anchored,True
-2.5080239979412284,0.485,anchored,True
-2.4986624060851486,0.49,anchored,True
-2.485028746431286,0.485,anchored,True
-2.481904358561079,0.49,anchored,True
-2.4784292326608157,0.495,anchored,True
-2.472869334014892,0.49,anchored,True
-2.449426471067967,0.485,anchored,True
-2.4486205843439515,0.49,anchored,True
-2.4466066848857864,0.495,anchored,True
-2.445022876226848,0.5,anchored,True
-2.4325202223414935,0.5,anchored,True
-2.4252057640670563,0.495,anchored,True
-2.421332995296398,0.5,anchored,True
-2.4143996017465343,0.495,anchored,True
-2.3893846302732356,0.5,anchored,True
-2.3824733793310395,0.505,anchored,True
-2.381238802670422,0.51,anchored,True
-2.3667045870086416,0.515,anchored,True
