threshold,accuracy,variant,pass_id
-1.3114422607387297,0.4666666666666667,plain,1
-1.1981235229462035,0.4666666666666667,plain,1
-1.038779125974065,0.4583333333333333,plain,1
-0.9014441741922787,0.4666666666666667,plain,1
-0.8983522369364282,0.4666666666666667,plain,1
-0.8767048644999651,0.475,plain,1
-0.8287024841290047,0.475,plain,1
-0.8120712860089336,0.48333333333333334,plain,1
-0.8114241363507323,0.48333333333333334,plain,1
-0.8037738891583699,0.49166666666666664,plain,1
-0.7871946868879057,0.48333333333333334,plain,1
-0.7276373077376691,0.48333333333333334,plain,1
-0.6846067810043807,0.49166666666666664,plain,1
-0.665323028563022,0.49166666666666664,plain,1
-0.6508889892564167,0.5,plain,1
-0.6389570312486333,0.5,plain,1
-0.6333570220933734,0.49166666666666664,plain,1
-0.6279511566148709,0.48333333333333334,plain,1
-0.620204971312155,0.48333333333333334,plain,1
-0.5698513702380515,0.49166666666666664,plain,1
-0.4575632781972919,0.49166666666666664,plain,1
-0.41799251403722537,0.48333333333333334,plain,1
-0.41640841369543186,0.48333333333333334,plain,1
-0.40603784484779826,0.49166666666666664,plain,1
-0.39645823364176447,0.5,plain,1
-0.39611831664957764,0.5,plain,1
-0.39291556396403765,0.5083333333333333,plain,1
-0.38550275878827234,0.5083333333333333,plain,1
-0.38186665649335827,0.5,plain,1
-0.38022808227461175,0.5,plain,1
-0.3476445465080794,0.49166666666666664,plain,1
-0.31494065246518,0.48333333333333334,plain,1
-0.2999429046624771,0.48333333333333334,plain,1
-0.2901994079583959,0.49166666666666664,plain,1
-0.28827321166933745,0.49166666666666664,plain,1
-0.2793197937006061,0.5,plain,1
-0.26660341186469494,0.5,plain,1
-0.2545875640863995,0.49166666666666664,plain,1
-0.244360781859858,0.5,plain,1
-0.24384436950634342,0.5,plain,1
-0.2403829803461944,0.5083333333333333,plain,1
-0.23248862609816384,0.5083333333333333,plain,1
-0.22944073791457628,0.5,plain,1
-0.22902019958449896,0.5,plain,1
-0.22750028991653326,0.5083333333333333,plain,1
-0.2246118926997423,0.5166666666666667,plain,1
-0.2145124359126537,0.5166666666666667,plain,1
-0.20368060607869148,0.5083333333333333,plain,1
-0.19173339538535625,0.5083333333333333,plain,1
-0.18601013488732113,0.5166666666666667,plain,1
-0.18370262145959154,0.5166666666666667,plain,1
-0.17740135803187002,0.5083333333333333,plain,1
-0.17129049682582775,0.5,plain,1
-0.16908975219692596,0.5,plain,1
-0.16548435058560507,0.5083333333333333,plain,1
-0.15971447753874174,0.5083333333333333,plain,1
-0.15670549621550564,0.5,plain,1
-0.15523034362761803,0.5,plain,1
-0.15289595642059153,0.49166666666666664,plain,1
-0.15019355468719858,0.48333333333333334,plain,1
-0.1458879394528321,0.48333333333333334,plain,1
-0.14032048950167145,0.49166666666666664,plain,1
-0.1327856628415306,0.49166666666666664,plain,1
-0.1285784790036484,0.48333333333333334,plain,1
-0.126242639159903,0.48333333333333334,plain,1
