variant,strength,n_rows,pass1_raw_accuracy,pass2_raw_accuracy,pass1_cal_accuracy,pass2_cal_accuracy,pass1_commitment_mean,pass2_commitment_mean,pass1_logodds_mean,pass2_logodds_mean,pass1_entropy_mean,pass2_entropy_mean,pass1_margin_mean,pass2_margin_mean,improvement_rate,regression_rate,prediction_change_rate,text_change_rate,mean_text_similarity,mean_jaccard_similarity,mean_response_drift,mean_delta_logodds,mean_delta_commitment,mean_delta_margin,mean_delta_entropy,mean_flip_uncertainty_delta,transition_entropy,q_stability_mean,q_improvement_mean,q_regression_mean,q_drift_mean
anchored,0.15,120,0.5666666666666667,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.6500000000000001,0.6508333333333335,0.12031237284314604,-1.2763579050662925,0.950493372624172,0.7483813140137808,0.09675807952880859,0.20501829783121744,0.05,0.058333333333333334,0.10833333333333334,0.65,0.9369948057571879,0.9078687069481522,0.06300519424281217,-1.3966702779094387,0.0008333333333333332,0.10826021830240885,-0.20211205861039125,-0.33881500041443696,1.4817232036970076,0.8916666666666667,0.05,0.058333333333333334,0.06300519424281217
anchored_reason,0.35,120,0.625,0.6,0.6333333333333333,0.6083333333333333,0.6462500000000001,0.6445833333333334,-0.8017494837420853,-2.06169357297526,0.8599353948808729,0.5616384906719853,0.27635370890299477,0.4595453898111979,0.11666666666666667,0.14166666666666666,0.26666666666666666,0.8416666666666667,0.8464390664279456,0.8112056564274274,0.15356093357205444,-1.2599440892331748,-0.0016666666666666672,0.18319168090820312,-0.2982969042088874,-0.3236666157231072,1.7724504243572934,0.7333333333333333,0.11666666666666667,0.14166666666666666,0.15356093357205444
anchored_selfcheck,0.75,120,0.6,0.5583333333333333,0.5666666666666667,0.5416666666666666,0.6687500000000003,0.7295833333333335,-4.431691646475597,-5.660510762021246,0.10287369961420878,0.05307466858800133,0.6636019706726074,0.9098187764485677,0.13333333333333333,0.175,0.325,0.975,0.7531470570725107,0.67733023061832,0.2468529429274892,-1.2288191155456472,0.060833333333333336,0.24621680577596028,-0.04979903102620746,-0.012861291195837014,1.8607876096119125,0.675,0.13333333333333333,0.175,0.2468529429274892
anchored_xml,0.55,120,0.55,0.525,0.5583333333333333,0.5416666666666666,0.6629166666666667,0.6954166666666668,-4.313377920687639,-5.4838247292952245,0.11917606798366324,0.0756254336965501,0.7150052070617676,0.7724929173787435,0.14166666666666666,0.16666666666666666,0.3416666666666667,0.95,0.828751930527023,0.7751389412084735,0.17124806947297708,-1.1704468086075872,0.03250000000000001,0.05748771031697591,-0.04355063428711314,-0.009459921428576741,1.8838984730536081,0.6583333333333333,0.14166666666666666,0.16666666666666666,0.17124806947297708
answer_first,0.45,120,0.4666666666666667,0.23333333333333334,0.6083333333333333,0.525,0.58625,0.5479166666666667,-3.3738469750960594,-2.5725198743963764,0.339834914799691,0.4048119527494799,1.552721881866455,0.3615097681681315,0.041666666666666664,0.275,0.4583333333333333,0.9333333333333333,0.6878549718343291,0.6442607484889926,0.3121450281656709,0.8013271006996838,-0.038333333333333344,-1.1912121136983236,0.06497703794978883,0.030073674976318323,1.6636196679783666,0.5416666666666666,0.041666666666666664,0.275,0.3121450281656709
plain,0.0,120,0.45,0.425,0.5833333333333334,0.5916666666666667,0.6312500000000002,0.6366666666666668,0.128306579589536,-1.5141698201444185,0.9319329683540821,0.680571793154755,0.15931828816731772,0.240934689839681,0.125,0.15,0.35833333333333334,0.9083333333333333,0.6967490216083433,0.7501697773660653,0.30325097839165666,-1.6424763997339549,0.005416666666666669,0.08161640167236328,-0.2513611751993271,-0.3653997920555393,1.8312822501647568,0.6416666666666667,0.125,0.15,0.30325097839165666
verbose,1.0,120,0.6166666666666667,0.5083333333333333,0.5416666666666666,0.5583333333333333,0.7358333333333336,0.7562500000000002,-4.343834622608453,-6.103992048000115,0.11075811806976031,0.03676076760301486,0.6313079198201498,1.0561540921529133,0.15,0.25833333333333336,0.4166666666666667,0.925,0.8443019250302811,0.7597689369128269,0.1556980749697188,-1.760157425391662,0.02041666666666667,0.42484617233276367,-0.07399735046674545,-0.021637249006460094,1.9354401129547656,0.5833333333333334,0.15,0.25833333333333336,0.1556980749697188
