variant,pass1_commitment,pass1_correct,pass1_logodds,pass2_commitment,pass2_correct,pass2_logodds
anchored,0.65,0.5666666666666667,0.12031237284314604,0.6491666666666667,0.55,-1.1760024706489205
anchored_reason,0.64625,0.625,-0.8017494837420853,0.6429166666666667,0.5416666666666666,-2.0547193209179135
anchored_selfcheck,0.66875,0.6,-4.431691646475598,0.7412500000000001,0.575,-4.601944350965602
anchored_xml,0.6629166666666666,0.55,-4.313377920687638,0.6975,0.5333333333333333,-4.693278979962076
answer_first,0.58625,0.4666666666666667,-3.3738469750960594,0.54125,0.18333333333333332,-2.9715072154350435
plain,0.63125,0.45,0.128306579589536,0.6366666666666667,0.4666666666666667,-1.425255743657453
verbose,0.7358333333333335,0.6166666666666667,-4.343834622608453,0.7591666666666668,0.525,-5.13595479285233
