task,recipe,prompt_strength,accuracy,format_compliance,content_target_margin,format_target_margin,content_full_entropy,prompt_tokens,content_dla_curve,format_dla_curve,delta_content_target_margin,delta_content_dla_curve
mmlu,hash_plain,0.15,0.16666666666666666,0.16666666666666666,-1.5260416666666667,-1.5260416666666667,2.1980183124542236,93.83333333333333,"[1.8823302785555522, -0.42935312787691754, 1.700061559677124, 3.331765979528427, 2.6344743172327676, 2.1144904047250748, 2.5474623839060464, 2.8344032963116965, 2.634496033191681, 7.060450275739034, 7.2200760046641035, 5.424857536951701, 7.376780430475871, 7.720634937286377, 7.802012046178182, 8.62377659479777, 10.006373961766561, 7.493135293324788, 10.84009869893392, 9.888044913609823, 12.224279959996542, 12.928726196289062, 17.03558079401652, 18.950395743052166, 18.347050348917644, 17.7333246866862, 22.264729181925457, 24.651237805684406, 21.843140602111816, 20.885149002075195, 20.13597011566162, 22.218719800313313, 52.03243509928385]","[1.8823302785555522, -0.42935312787691754, 1.700061559677124, 3.331765979528427, 2.6344743172327676, 2.1144904047250748, 2.5474623839060464, 2.8344032963116965, 2.634496033191681, 7.060450275739034, 7.2200760046641035, 5.424857536951701, 7.376780430475871, 7.720634937286377, 7.802012046178182, 8.62377659479777, 10.006373961766561, 7.493135293324788, 10.84009869893392, 9.888044913609823, 12.224279959996542, 12.928726196289062, 17.03558079401652, 18.950395743052166, 18.347050348917644, 17.7333246866862, 22.264729181925457, 24.651237805684406, 21.843140602111816, 20.885149002075195, 20.13597011566162, 22.218719800313313, 52.03243509928385]",0.6302083333333334,"[0.0, 0.00017096598943074545, -0.0028867324193318686, -0.08894944190979004, 0.1899799903233846, 0.2287472039461136, 0.3340951104958852, 1.3977697094281514, 1.050041784842809, 2.3588890631993613, 0.8458286126454672, 0.9304234981536865, 2.0404555002848306, 1.1616479953130086, 0.7076388200124105, 2.539799133936564, 2.2836767037709556, -0.3934632937113444, 0.35474618275960285, -1.0669546922047932, -0.9064296881357828, 1.8164795239766438, 2.632105032602946, 2.907808462778727, 2.550381819407145, 2.822459856669108, 4.365097363789876, 4.914664268493652, 3.5181873639424643, 1.8782904942830403, 1.659742832183838, 0.09668986002604167, 1.0750478108723958]"
mmlu,hash_roomy,0.25,0.3333333333333333,0.16666666666666666,-1.3489583333333333,-1.3489583333333333,2.4894375006357827,95.83333333333333,"[1.8823302785555522, -0.30884815255800885, 1.8512252569198608, 3.3738089005152383, 2.6221938331921897, 2.0441472431023917, 2.265345553557078, 2.587804158528646, 2.48799995581309, 6.445337812105815, 6.772030353546143, 5.003711064656575, 6.7441933155059814, 7.569292386372884, 7.595874786376953, 8.43373998006185, 10.451357205708822, 8.077903469403585, 11.596652825673422, 10.32840347290039, 12.703728199005127, 13.33372163772583, 17.916122436523438, 19.97499354680379, 19.26843770345052, 18.836832682291668, 23.210355758666992, 26.05862331390381, 22.345099449157715, 21.27201970418294, 20.36058807373047, 22.432886759440105, 51.906860987345375]","[1.8823302785555522, -0.30884815255800885, 1.8512252569198608, 3.3738089005152383, 2.6221938331921897, 2.0441472431023917, 2.265345553557078, 2.587804158528646, 2.48799995581309, 6.445337812105815, 6.772030353546143, 5.003711064656575, 6.7441933155059814, 7.569292386372884, 7.595874786376953, 8.43373998006185, 10.451357205708822, 8.077903469403585, 11.596652825673422, 10.32840347290039, 12.703728199005127, 13.33372163772583, 17.916122436523438, 19.97499354680379, 19.26843770345052, 18.836832682291668, 23.210355758666992, 26.05862331390381, 22.345099449157715, 21.27201970418294, 20.36058807373047, 22.432886759440105, 51.906860987345375]",0.8072916666666666,"[0.0, 0.12067594130833943, 0.14827696482340494, -0.04690652092297872, 0.1776995062828064, 0.1584040423234304, 0.05197828014691671, 1.1511705716451008, 0.9035457074642181, 1.7437765995661418, 0.39778296152750653, 0.5092770258585612, 1.4078683853149414, 1.0103054443995159, 0.5015015602111816, 2.349762519200643, 2.7286599477132163, 0.191304882367452, 1.1113003094991047, -0.6265961329142252, -0.42698144912719727, 2.2214749654134116, 3.5126466751098633, 3.932406266530355, 3.471769173940023, 3.9259678522745767, 5.310723940531413, 6.322049776713054, 4.020146210988362, 2.2651611963907876, 1.8843607902526855, 0.31085681915283203, 0.9494736989339193]"
mmlu,hash_selfcheck,0.85,0.3333333333333333,0.0,-8.0625,-7.026041666666667,1.0249040325482686,147.83333333333334,"[1.2998437881469727, 1.383640468120575, 2.7159246504306793, 3.377376834551493, 2.025759518146515, 1.4528249700864155, 1.5921010474363964, 1.8506337404251099, 2.16068368156751, 2.0289078652858734, 1.3290115396181743, -0.6264650026957194, 0.07521190245946248, -0.018550634384155273, 1.0993993977705638, 1.3510162035624187, 1.0161778728167217, 1.4502242803573608, 2.383344054222107, 2.8067834178606668, 2.522328774134318, 2.06617800394694, 2.7975432872772217, 1.9695457617441814, 3.3057867288589478, 4.892755111058553, 4.992478052775065, 4.570398688316345, 3.1136138439178467, 3.5489885210990906, 5.9908924500147505, 11.652743021647135, 44.948412577311196]","[2.6263463497161865, 4.386662880579631, 4.494534810384114, 0.5983349780241648, 1.4940591057141621, 3.5563697020212808, 3.0396194060643515, 5.22382911046346, 6.266602198282878, 7.883654594421387, 6.143057346343994, 3.2018100023269653, 4.02446726957957, 8.31910785039266, 8.935146967569986, 8.650423685709635, 11.79368003209432, 9.418221791585287, 13.560942649841309, 13.311857541402182, 17.179787317911785, 16.522337277730305, 17.523345947265625, 12.004335403442383, 14.064860661824545, 16.582575798034668, 19.924048105875652, 20.670199076334637, 16.57201925913493, 16.326766808827717, 16.22251542409261, 18.536954561869305, 46.17301114400228]",-5.90625,"[-0.5824864904085795, 1.8131645619869232, 1.0129763583342235, -0.04333858688672384, -0.4187348087628682, -0.4329182306925456, -0.621266225973765, 0.41400015354156494, 0.5762294332186381, -2.6726533472537994, -5.045235852400462, -5.120899041493733, -5.261113027731578, -6.577537576357524, -5.994973828395207, -4.732961257298787, -6.706519385178884, -6.436374306678772, -8.10200846195221, -8.148216187953949, -10.608380873998007, -9.046068668365479, -11.605932474136353, -14.073041518529257, -12.49088180065155, -10.018109718958536, -12.907153765360514, -15.16617484887441, -15.211339394251505, -15.457869986693064, -12.485334833463034, -10.469286918640137, -6.008974711100261]"
mmlu,hash_think,0.45,0.3333333333333333,0.16666666666666666,-0.8020833333333334,-0.8020833333333334,2.167317569255829,110.83333333333333,"[1.8823302785555522, -0.2900492350260417, 1.6227049628893535, 2.647445559501648, 1.9688758850097656, 2.528469810883204, 2.0533237059911094, 2.908091942469279, 3.3643866181373596, 6.426275730133057, 6.342400948206584, 5.592315912246704, 8.57900301615397, 10.966403007507324, 8.997036933898926, 9.900027910868326, 11.363665501276651, 9.469393809636435, 13.791340668996176, 12.2018829981486, 14.318086783091227, 14.470915158589682, 20.326670328776043, 23.57779884338379, 22.413809458414715, 22.60097599029541, 27.288431485493977, 30.724578857421875, 24.965046882629395, 24.209736824035645, 23.545072555541992, 25.693603833516438, 54.049726486206055]","[1.8823302785555522, -0.2900492350260417, 1.6227049628893535, 2.647445559501648, 1.9688758850097656, 2.528469810883204, 2.0533237059911094, 2.908091942469279, 3.3643866181373596, 6.426275730133057, 6.342400948206584, 5.592315912246704, 8.57900301615397, 10.966403007507324, 8.997036933898926, 9.900027910868326, 11.363665501276651, 9.469393809636435, 13.791340668996176, 12.2018829981486, 14.318086783091227, 14.470915158589682, 20.326670328776043, 23.57779884338379, 22.413809458414715, 22.60097599029541, 27.288431485493977, 30.724578857421875, 24.965046882629395, 24.209736824035645, 23.545072555541992, 25.693603833516438, 54.049726486206055]",1.3541666666666667,"[0.0, 0.1394748588403066, -0.08024332920710246, -0.7732698619365692, -0.4756184418996175, 0.6427266101042429, -0.16004356741905212, 1.4714583555857341, 1.7799323697884877, 1.7247145175933838, -0.03184644381205241, 1.0978818734486897, 3.242678085962931, 4.407416065533956, 1.9026637077331543, 3.8160504500071206, 3.6409682432810464, 1.582795222600301, 3.305988152821859, 1.2468833923339844, 1.187377134958903, 3.358668486277262, 5.923194567362468, 7.535211563110352, 6.617140928904216, 7.69011116027832, 9.388799667358398, 10.98800532023112, 6.640093644460042, 5.202878316243489, 5.068845272064209, 3.5715738932291665, 3.092339197794596]"
mmlu,hash_xml_think,0.7,0.3333333333333333,0.0,-9.4375,-6.484375,0.4251614833871524,134.83333333333334,"[1.2998437881469727, 1.4323288003603618, 2.750271419684092, 3.387786348660787, 2.1253738502661386, 1.5585842529932659, 1.9376146793365479, 1.8195159832636516, 1.1042731006940205, 1.104572316010793, 1.623886873324712, 1.2892443140347798, 1.4861892660458882, 1.2811143000920613, 2.7199804385503135, 2.5481664141019187, 2.5435359279314675, 1.8760923345883687, 3.4748938282330832, 3.490916053454081, 3.1867069602012634, 3.208546797434489, 3.273153384526571, 3.1641467909018197, 3.6247478127479553, 4.38483265042305, 4.630754709243774, 4.213991761207581, 3.344541311264038, 3.735003928343455, 7.071005662282308, 12.664818922678629, 46.11319923400879]","[2.6263463497161865, 4.512359221776326, 4.602061112721761, 0.5037448406219482, 1.447355329990387, 3.1361783345540366, 3.239790916442871, 5.857035716374715, 5.931560595830281, 6.146799723307292, 3.5535484552383423, 2.526864012082418, 3.43945582707723, 7.857624928156535, 8.739181598027548, 8.025084892908732, 10.96480941772461, 9.0260751247406, 13.497228781382242, 13.598587195078531, 17.68507130940755, 16.45142062505086, 17.35391076405843, 11.866664250691732, 15.091241677602133, 18.22718048095703, 21.63161023457845, 21.82529894510905, 18.698898951212566, 17.894836743672688, 18.35851987202962, 22.031749089558918, 49.25938860575358]",-7.28125,"[-0.5824864904085795, 1.86185289422671, 1.0473231275876362, -0.032929072777430214, -0.31912047664324444, -0.3271589477856954, -0.27575259407361347, 0.3828823963801066, -0.48018114765485126, -3.5969888965288797, -4.750360518693924, -3.2051897247632346, -3.8501356641451516, -5.277872641881307, -4.3743927876154585, -3.5358110467592874, -5.1791613300641375, -6.010506252447764, -7.010458687941234, -7.464083552360535, -9.94400268793106, -7.90369987487793, -11.130322376887003, -12.878440489371618, -12.171920716762543, -10.52603217959404, -13.268877108891806, -15.522581775983175, -14.980411926905314, -15.2718545794487, -11.405221621195475, -9.457211017608643, -4.844188054402669]"
mmlu,verbose_xml,1.0,0.3333333333333333,0.0,-8.963541666666666,-6.010416666666667,0.4746370241045952,135.83333333333334,"[1.2998437881469727, 1.450619767109553, 2.6995031237602234, 3.336103836695353, 2.244267374277115, 1.6620422800381978, 2.032282749811808, 2.049149433771769, 1.205832342306773, 1.4567633668581645, 2.023919622103373, 1.7008436918258667, 2.3167419036229453, 2.4962634841601052, 3.543638199567795, 3.7085101207097373, 3.1958708465099335, 2.5322909355163574, 3.5487573742866516, 4.319353302319844, 3.9649820725123086, 4.030824472506841, 3.9155094027519226, 3.955958684285482, 4.747366547584534, 5.394927342732747, 5.29166042804718, 4.834066073099772, 3.65316379070282, 4.135404149691264, 7.30434250831604, 12.4898575146993, 46.541388193766274]","[2.6263463497161865, 4.473515113194783, 4.663830518722534, 0.580365796883901, 1.6567654609680176, 3.5524247884750366, 3.5289964278539023, 5.7364621957143145, 5.883917172749837, 6.017010847727458, 3.1885791619618735, 2.257308065891266, 3.746673862139384, 8.005008220672607, 8.94312318166097, 8.35563842455546, 11.588074843088785, 9.340192953745523, 13.817267894744873, 13.927878379821777, 17.794467608133953, 16.59072462717692, 17.54920768737793, 11.996901512145996, 15.063084920247396, 18.290291786193848, 20.757749875386555, 21.179486592610676, 17.789589564005535, 16.81208864847819, 17.52236207326253, 20.859604835510254, 49.64849599202474]",-6.807291666666667,"[-0.5824864904085795, 1.8801438609759014, 0.9965548316637675, -0.08461158474286397, -0.20022695263226828, -0.22370092074076334, -0.18108452359835306, 0.6125158468882242, -0.378621906042099, -3.2447978456815085, -4.350327769915263, -2.7935903469721475, -3.0195830265680947, -4.062723457813263, -3.5507350265979767, -2.3754673401514688, -4.526826411485672, -5.354307651519775, -6.936595141887665, -6.635646303494771, -9.165727575620016, -7.081422199805577, -10.487966358661652, -12.086628595987955, -11.049301981925964, -9.515937487284342, -12.6079713900884, -14.902507464090982, -14.671789447466532, -14.871454358100891, -11.171884775161743, -9.632172425587973, -4.415999094645183]"
strategyqa,answer_first,0.35,0.3333333333333333,0.0,-12.526041666666666,-12.526041666666666,0.23767002382212216,30.38888888888889,"[4.563942882749769, 2.7895931800206504, 2.4381777776612177, 2.469144326117304, 1.5299534963236914, 1.5975176493326824, 1.5332054562038846, 1.4762500723203023, 5.027376201417711, 4.5078149106767444, 3.2149474951956005, 0.8651794791221619, 2.681733717521032, 5.509574406676823, 5.363620903756884, 7.353472736146715, 9.418731715944078, 8.807350688510471, 10.191277556949192, 10.190097173055014, 12.237492190466988, 9.847539610332912, 11.996059868070814, 13.834757486979166, 14.876034471723768, 15.634800487094456, 12.611836592356363, 11.090526713265312, 14.19348594877455, 15.573963483174643, 13.336402946048313, 14.937036832173666, 44.108514149983726]","[4.563942882749769, 2.7895931800206504, 2.4381777776612177, 2.469144326117304, 1.5299534963236914, 1.5975176493326824, 1.5332054562038846, 1.4762500723203023, 5.027376201417711, 4.5078149106767444, 3.2149474951956005, 0.8651794791221619, 2.681733717521032, 5.509574406676823, 5.363620903756884, 7.353472736146715, 9.418731715944078, 8.807350688510471, 10.191277556949192, 10.190097173055014, 12.237492190466988, 9.847539610332912, 11.996059868070814, 13.834757486979166, 14.876034471723768, 15.634800487094456, 12.611836592356363, 11.090526713265312, 14.19348594877455, 15.573963483174643, 13.336402946048313, 14.937036832173666, 44.108514149983726]",-7.609375,"[-1.2742147313223944, 1.111600714425246, -1.6959898935423956, -1.8870390703280766, -2.6354415251149073, -3.0190045171313815, -3.3132903310987682, -5.3905244204733105, -1.4716831644376118, -3.4844246092769833, -5.283008578750822, -3.430411239465078, -1.972095141808192, -2.087278279993269, -1.7583795256084866, -0.07389937506781684, -3.0214540428585477, 0.6469273302290175, -2.3122949600219727, -4.121659517288208, -4.27258547147115, -6.252282328075832, -15.26891917652554, -17.223374154832626, -15.931784470876059, -15.469255659315321, -16.873843669891357, -16.47593050532871, -10.87696631749471, -11.448170132107204, -13.404034985436333, -8.497941970825195, -5.92241096496582]"
strategyqa,answer_first_xml,0.8,0.1111111111111111,0.0,-18.12847222222222,-9.307291666666666,0.01758241058430738,61.388888888888886,"[6.548668755425347, 5.0548864470587835, 7.062038620313008, 3.6990848647223578, 3.2410506274965076, 4.367851946089003, 3.1593114733695984, 1.8790020876460605, 1.4622071186701457, 0.11539838380283779, 1.68061340186331, 2.2500461174382105, 3.0398621989621057, 5.412274771266514, 2.4265346460872226, 0.42489220367537606, 1.6453574895858765, 1.139075795809428, 1.862625800900989, 2.472132510609097, 4.278644601504008, 4.944041914410061, 3.3392060730192394, 3.7418739398320517, 5.174181421597798, 6.754552046457927, 5.702459176381429, 4.068981998496586, 5.848827256096734, 6.965852247344123, 7.859805372026232, 10.667526324590048, 41.886209911770294]","[2.6263463497161865, 4.6673141585456, 5.143799834781223, 2.9964762263827853, 4.530958864423964, 4.217689686351353, -0.0073550740877787275, 1.9145077798101637, 6.998502678341335, 4.47275616063012, 3.4523857964409723, 1.9741721153259277, 4.075963232252333, 8.080213599734837, 7.876906845304701, 5.902829302681817, 8.117766380310059, 6.597476429409451, 8.61077610651652, 10.405712021721733, 13.44342459572686, 15.094007915920681, 16.445842425028484, 14.659445338779026, 18.41823461320665, 19.566035588582356, 20.67305808597141, 24.375303904215496, 19.2002780702379, 18.621462398105198, 18.562326537238228, 21.295436329311794, 50.77640300326877]",-13.211805555555555,"[0.7105111413531833, 3.3768939814633794, 2.9278709491093955, -0.6570985317230225, -0.9243443939420912, -0.24867022037506104, -1.6871843139330547, -4.9877724051475525, -5.036852247185177, -7.87684113615089, -6.817342672083113, -2.0455446011490293, -1.613966660367118, -2.184577915403578, -4.695465783278148, -7.002479907539156, -10.79482826921675, -7.021347562472026, -10.640946716070175, -11.839624179734123, -12.23143306043413, -11.155780023998684, -23.925772971577114, -27.316257701979744, -25.63363752100203, -24.34950409995185, -23.78322108586629, -23.497475220097435, -19.221625010172527, -20.056281367937725, -18.880632559458416, -12.767452478408813, -8.144715203179253]"
strategyqa,baseline_plain,0.0,0.5,0.0,-4.916666666666667,-4.916666666666667,1.252137604686949,30.38888888888889,"[5.838157614072164, 1.6779924655954044, 4.134167671203613, 4.35618339644538, 4.165395021438599, 4.616522166464064, 4.846495787302653, 6.866774492793613, 6.499059365855323, 7.992239519953728, 8.497956073946423, 4.295590718587239, 4.653828859329224, 7.596852686670092, 7.12200042936537, 7.427372111214532, 12.440185758802626, 8.160423358281454, 12.503572516971165, 14.311756690343222, 16.510077661938137, 16.099821938408745, 27.264979044596355, 31.058131641811794, 30.807818942599827, 31.104056146409775, 29.485680262247723, 27.56645721859402, 25.07045226626926, 27.022133615281845, 26.740437931484646, 23.43497880299886, 50.03092511494955]","[5.838157614072164, 1.6779924655954044, 4.134167671203613, 4.35618339644538, 4.165395021438599, 4.616522166464064, 4.846495787302653, 6.866774492793613, 6.499059365855323, 7.992239519953728, 8.497956073946423, 4.295590718587239, 4.653828859329224, 7.596852686670092, 7.12200042936537, 7.427372111214532, 12.440185758802626, 8.160423358281454, 12.503572516971165, 14.311756690343222, 16.510077661938137, 16.099821938408745, 27.264979044596355, 31.058131641811794, 30.807818942599827, 31.104056146409775, 29.485680262247723, 27.56645721859402, 25.07045226626926, 27.022133615281845, 26.740437931484646, 23.43497880299886, 50.03092511494955]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
strategyqa,hash_plain,0.15,0.4444444444444444,0.0,-4.315972222222222,-4.315972222222222,1.203741924630271,31.38888888888889,"[5.838157614072164, 1.597518190741539, 3.572496645980411, 4.2928323480818005, 4.200899177127415, 4.155846781200832, 2.535412629445394, 5.465245366096497, 6.210998601383633, 9.692762957678902, 9.739671283298069, 7.752921607759264, 9.02377920680576, 10.230097638236153, 8.780908253457811, 10.551862133873833, 16.208362579345703, 13.279687775505913, 18.665679666731094, 20.39421484205458, 21.947996033562553, 20.158624172210693, 33.49789465798272, 34.258728133307564, 34.25498019324409, 34.168383068508575, 32.54499414232042, 31.63731288909912, 28.175932778252495, 29.41530376010471, 29.093633545769585, 25.351856655544704, 50.86785337660048]","[5.838157614072164, 1.597518190741539, 3.572496645980411, 4.2928323480818005, 4.200899177127415, 4.155846781200832, 2.535412629445394, 5.465245366096497, 6.210998601383633, 9.692762957678902, 9.739671283298069, 7.752921607759264, 9.02377920680576, 10.230097638236153, 8.780908253457811, 10.551862133873833, 16.208362579345703, 13.279687775505913, 18.665679666731094, 20.39421484205458, 21.947996033562553, 20.158624172210693, 33.49789465798272, 34.258728133307564, 34.25498019324409, 34.168383068508575, 32.54499414232042, 31.63731288909912, 28.175932778252495, 29.41530376010471, 29.093633545769585, 25.351856655544704, 50.86785337660048]",0.6006944444444444,"[0.0, -0.08047427485386531, -0.5616710252232022, -0.06335104836357965, 0.035504155688815646, -0.46067538526323104, -2.3110831578572593, -1.4015291266971164, -0.2880607644716899, 1.700523437725173, 1.2417152093516455, 3.4573308891720242, 4.369950347476536, 2.6332449515660605, 1.658907824092441, 3.1244900226593018, 3.7681768205430775, 5.119264417224461, 6.162107149759929, 6.082458151711358, 5.437918371624416, 4.058802233801948, 6.232915613386366, 3.200596491495768, 3.44716125064426, 3.0643269220987954, 3.0593138800726996, 4.0708556705051, 3.105480511983236, 2.3931701448228626, 2.3531956142849393, 1.916877852545844, 0.8369282616509331]"
