layer,head,delta_prefix_mass_head,clean_prefix_mass_head,corrupt_prefix_mass_head
0,0.0,-0.00611114501953125,0.1080474853515625,0.11415863037109375
0,1.0,-0.00212860107421875,0.0806732177734375,0.08280181884765625
0,2.0,0.00098419189453125,0.065582275390625,0.06459808349609375
0,3.0,-0.002288818359375,0.09334564208984375,0.09563446044921875
0,4.0,0.00371551513671875,0.105072021484375,0.10135650634765625
0,5.0,-0.0066375732421875,0.09233856201171875,0.09897613525390625
0,6.0,-0.01158905029296875,0.09435272216796875,0.1059417724609375
0,7.0,-0.004200935363769531,0.01643657684326172,0.02063751220703125
0,8.0,-0.00101470947265625,0.08156585693359375,0.08258056640625
0,9.0,0.00165557861328125,0.1075286865234375,0.10587310791015625
0,10.0,-0.020755767822265625,0.06608200073242188,0.0868377685546875
0,11.0,0.00055694580078125,0.09023284912109375,0.0896759033203125
0,12.0,-0.005901336669921875,0.0736236572265625,0.07952499389648438
0,13.0,-0.00225067138671875,0.11205291748046875,0.1143035888671875
0,14.0,0.005859375,0.11696624755859375,0.11110687255859375
0,15.0,-0.0035247802734375,0.113037109375,0.1165618896484375
0,16.0,-0.02050018310546875,0.062030792236328125,0.08253097534179688
0,17.0,-0.00969696044921875,0.10040283203125,0.11009979248046875
0,18.0,0.000152587890625,0.095703125,0.095550537109375
0,19.0,-0.00750732421875,0.07637786865234375,0.08388519287109375
0,20.0,0.01430511474609375,0.084991455078125,0.07068634033203125
0,21.0,0.00299072265625,0.10840606689453125,0.10541534423828125
0,22.0,-0.001575469970703125,0.014807701110839844,0.01638317108154297
0,23.0,0.15181732177734375,0.25677490234375,0.10495758056640625
0,24.0,-0.00579071044921875,0.032649993896484375,0.038440704345703125
0,25.0,-0.0015869140625,0.10875701904296875,0.11034393310546875
0,26.0,0.00811004638671875,0.098724365234375,0.09061431884765625
0,27.0,0.01105499267578125,0.062183380126953125,0.051128387451171875
0,28.0,-0.0005228519439697266,0.00538182258605957,0.005904674530029297
0,29.0,-0.00563812255859375,0.0981292724609375,0.10376739501953125
0,30.0,-0.011816024780273438,0.03469276428222656,0.0465087890625
0,31.0,-0.009342193603515625,0.03829002380371094,0.04763221740722656
1,0.0,0.002414703369140625,0.06417083740234375,0.061756134033203125
1,1.0,0.00275421142578125,0.02202606201171875,0.0192718505859375
1,2.0,0.2296295166015625,0.468536376953125,0.2389068603515625
1,3.0,0.00791168212890625,0.06978988647460938,0.061878204345703125
1,4.0,0.00067138671875,0.0880584716796875,0.0873870849609375
1,5.0,0.01276397705078125,0.12567901611328125,0.1129150390625
1,6.0,0.0001220703125,0.07834625244140625,0.07822418212890625
1,7.0,-0.00193023681640625,0.092437744140625,0.09436798095703125
1,8.0,-0.00019729137420654297,0.0014487504959106445,0.0016460418701171875
