sample_id,task,layer,clean_mean_logprob,corrupt_mean_logprob,patched_mean_logprob,clean_sum_logprob,corrupt_sum_logprob,patched_sum_logprob,recovery_mean,recovery_sum,patch_window
0,strategyqa,0,-2.5163025856018066,-2.065014362335205,-2.699387788772583,-17.614116668701172,-14.455099105834961,-18.895713806152344,1.4056946487601207,1.405694848478561,6
0,strategyqa,1,-2.5163025856018066,-2.065014362335205,-2.7681784629821777,-17.614116668701172,-14.455099105834961,-19.377248764038086,1.5581264477465395,1.5581267200421869,6
0,strategyqa,2,-2.5163025856018066,-2.065014362335205,-2.6541531085968018,-17.614116668701172,-14.455099105834961,-18.579071044921875,1.3054600783769175,1.3054602799991375,6
0,strategyqa,3,-2.5163025856018066,-2.065014362335205,-2.7334511280059814,-17.614116668701172,-14.455099105834961,-19.134157180786133,1.4811748811970253,1.4811750794818508,6
0,strategyqa,4,-2.5163025856018066,-2.065014362335205,-2.6075806617736816,-17.614116668701172,-14.455099105834961,-18.253063201904297,1.2022611791944848,1.2022611563596415,6
0,strategyqa,5,-2.5163025856018066,-2.065014362335205,-2.6299095153808594,-17.614116668701172,-14.455099105834961,-18.409366607666016,1.251739213299459,1.2517396423591585,6
0,strategyqa,6,-2.5163025856018066,-2.065014362335205,-2.572805881500244,-17.614116668701172,-14.455099105834961,-18.009639739990234,1.1252044796150211,1.1252044582437346,6
0,strategyqa,7,-2.5163025856018066,-2.065014362335205,-2.5601418018341064,-17.614116668701172,-14.455099105834961,-17.920991897583008,1.097142413525437,1.097142619104286,6
0,strategyqa,8,-2.5163025856018066,-2.065014362335205,-2.424879550933838,-17.614116668701172,-14.455099105834961,-16.97415542602539,0.7974176546597286,0.7974176395141782,6
0,strategyqa,9,-2.5163025856018066,-2.065014362335205,-2.3798117637634277,-17.614116668701172,-14.455099105834961,-16.658681869506836,0.6975528989547395,0.6975531875954727,6
0,strategyqa,10,-2.5163025856018066,-2.065014362335205,-2.2814879417419434,-17.614116668701172,-14.455099105834961,-15.970415115356445,0.47967922281820163,0.4796795155970633,6
0,strategyqa,11,-2.5163025856018066,-2.065014362335205,-2.280299186706543,-17.614116668701172,-14.455099105834961,-15.962093353271484,0.4770450856959495,0.4770452275800782,6
0,strategyqa,12,-2.5163025856018066,-2.065014362335205,-2.2786500453948975,-17.614116668701172,-14.455099105834961,-15.950550079345703,0.4733907883685091,0.4733911567391904,6
0,strategyqa,13,-2.5163025856018066,-2.065014362335205,-2.2643303871154785,-17.614116668701172,-14.455099105834961,-15.850311279296875,0.4416601606710392,0.44166015228247874,6
0,strategyqa,14,-2.5163025856018066,-2.065014362335205,-2.2311277389526367,-17.614116668701172,-14.455099105834961,-15.617894172668457,0.36808711536035404,0.3680875612034759,6
0,strategyqa,15,-2.5163025856018066,-2.065014362335205,-2.204017162322998,-17.614116668701172,-14.455099105834961,-15.428119659423828,0.30801336241785715,0.30801365845721085,6
0,strategyqa,16,-2.5163025856018066,-2.065014362335205,-2.1952271461486816,-17.614116668701172,-14.455099105834961,-15.366588592529297,0.2885357516229933,0.2885357461427625,6
0,strategyqa,17,-2.5163025856018066,-2.065014362335205,-2.1575398445129395,-17.614116668701172,-14.455099105834961,-15.102778434753418,0.20502525760200682,0.20502555559743899,6
0,strategyqa,18,-2.5163025856018066,-2.065014362335205,-2.169248104095459,-17.614116668701172,-14.455099105834961,-15.184735298156738,0.2309693421987893,0.2309693378119316,6
0,strategyqa,19,-2.5163025856018066,-2.065014362335205,-2.1588335037231445,-17.614116668701172,-14.455099105834961,-15.111833572387695,0.20789184966485078,0.20789199666107333,6
0,strategyqa,20,-2.5163025856018066,-2.065014362335205,-2.1071624755859375,-17.614116668701172,-14.455099105834961,-14.750136375427246,0.09339511206297148,0.09339526123385881,6
0,strategyqa,21,-2.5163025856018066,-2.065014362335205,-2.141097068786621,-17.614116668701172,-14.455099105834961,-14.987678527832031,0.16859005889096784,0.168590206633659,6
0,strategyqa,22,-2.5163025856018066,-2.065014362335205,-2.200868606567383,-17.614116668701172,-14.455099105834961,-15.406079292297363,0.3010365443600029,0.3010366895871052,6
0,strategyqa,23,-2.5163025856018066,-2.065014362335205,-2.1822800636291504,-17.614116668701172,-14.455099105834961,-15.275959014892578,0.25984658550049433,0.259846580565164,6
0,strategyqa,24,-2.5163025856018066,-2.065014362335205,-2.159302234649658,-17.614116668701172,-14.455099105834961,-15.11511516571045,0.2089305006039498,0.20893079852520874,6
0,strategyqa,25,-2.5163025856018066,-2.065014362335205,-2.089416265487671,-17.614116668701172,-14.455099105834961,-14.625913619995117,0.05407166071507884,0.05407203704999182,6
0,strategyqa,26,-2.5163025856018066,-2.065014362335205,-2.0696663856506348,-17.614116668701172,-14.455099105834961,-14.487663269042969,0.010308320001881975,0.01030831980609351,6
0,strategyqa,27,-2.5163025856018066,-2.065014362335205,-2.0743987560272217,-17.614116668701172,-14.455099105834961,-14.520790100097656,0.020794679355989977,0.020794754433413377,6
0,strategyqa,28,-2.5163025856018066,-2.065014362335205,-2.0793426036834717,-17.614116668701172,-14.455099105834961,-14.555397033691406,0.03174964673806381,0.03174972160741681,6
0,strategyqa,29,-2.5163025856018066,-2.065014362335205,-2.07351016998291,-17.614116668701172,-14.455099105834961,-14.514570236206055,0.01882568034784042,0.01882583093504338,6
0,strategyqa,30,-2.5163025856018066,-2.065014362335205,-2.068739652633667,-17.614116668701172,-14.455099105834961,-14.481176376342773,0.008254791924426295,0.00825486724002287,6
0,strategyqa,31,-2.5163025856018066,-2.065014362335205,-2.065014362335205,-17.614116668701172,-14.455099105834961,-14.455099105834961,-0.0,-0.0,6
