layer,clean_dla,corrupt_dla,delta_dla
0,2.4743459224700928,2.4743459224700928,0.0
1,1.0088179558515549,0.9827499911189079,0.026067964732646942
2,1.7831618189811707,1.7929290533065796,-0.009767234325408936
3,2.888584703207016,2.8304957151412964,0.058088988065719604
4,2.7370812594890594,2.879162222146988,-0.14208096265792847
5,2.438251405954361,2.7591423988342285,-0.32089099287986755
6,1.658949613571167,1.6965258568525314,-0.03757624328136444
7,1.110787808895111,1.0669256001710892,0.04386220872402191
8,3.3848110735416412,3.73380246758461,-0.34899139404296875
9,5.14012885093689,5.857989430427551,-0.7178605794906616
10,2.2211838364601135,2.8830830454826355,-0.661899209022522
11,3.582705408334732,4.050926685333252,-0.4682212769985199
12,3.1166588962078094,3.864404708147049,-0.7477458119392395
13,5.679800033569336,6.369169652462006,-0.6893696188926697
14,5.762260913848877,6.694572031497955,-0.9323111176490784
15,5.712513208389282,6.550159513950348,-0.8376463055610657
16,5.984689831733704,6.982154011726379,-0.9974641799926758
17,5.3994253277778625,5.742177605628967,-0.34275227785110474
18,8.411044418811798,9.806081175804138,-1.39503675699234
19,10.333535075187683,11.897019267082214,-1.5634841918945312
20,11.183427572250366,12.216241955757141,-1.032814383506775
21,12.070744395256042,12.26249361038208,-0.1917492151260376
22,12.161423206329346,12.065601468086243,0.09582173824310303
23,14.439146637916565,14.547538876533508,-0.10839223861694336
24,13.859928011894226,13.924622654914856,-0.06469464302062988
25,14.254749655723572,14.191177606582642,0.06357204914093018
26,15.107017517089844,15.207653045654297,-0.10063552856445312
27,14.304349780082703,14.353960871696472,-0.04961109161376953
28,13.465075850486755,13.455033779144287,0.010042071342468262
29,15.184815049171448,15.095071911811829,0.08974313735961914
30,15.717557191848755,15.597052931785583,0.12050426006317139
31,20.79435634613037,20.124818086624146,0.6695382595062256
32,50.10183763504028,49.73924446105957,0.3625931739807129
