task,layer,drift_cosine,step_distance,explained_var1
gsm8k,1,0.2862023711204529,84.33221435546875,0.27060700200362575
gsm8k,2,0.7854748368263245,32.34375,0.27060700200362575
gsm8k,3,0.7958851456642151,34.9337272644043,0.27060700200362575
gsm8k,4,0.7686570286750793,42.97834396362305,0.27060700200362575
gsm8k,5,0.8771235346794128,33.407657623291016,0.27060700200362575
gsm8k,6,0.7785974144935608,46.30827331542969,0.27060700200362575
gsm8k,7,0.8312488794326782,41.48427963256836,0.27060700200362575
gsm8k,8,0.7801929712295532,48.36086654663086,0.27060700200362575
gsm8k,9,0.7918733358383179,47.9406623840332,0.27060700200362575
gsm8k,10,0.7586352229118347,51.44873809814453,0.27060700200362575
gsm8k,11,0.8348690271377563,41.56417465209961,0.27060700200362575
gsm8k,12,0.8244444131851196,43.054039001464844,0.27060700200362575
gsm8k,13,0.8134292960166931,45.91416931152344,0.27060700200362575
gsm8k,14,0.8291595578193665,43.45013427734375,0.27060700200362575
gsm8k,15,0.8287663459777832,41.53459930419922,0.27060700200362575
gsm8k,16,0.8423200845718384,40.064857482910156,0.27060700200362575
gsm8k,17,0.8274192214012146,41.82484436035156,0.27060700200362575
gsm8k,18,0.8604556322097778,36.365501403808594,0.27060700200362575
gsm8k,19,0.8352953195571899,37.90336608886719,0.27060700200362575
gsm8k,20,0.8648656606674194,33.22316360473633,0.27060700200362575
gsm8k,21,0.9092546701431274,26.66521644592285,0.27060700200362575
gsm8k,22,0.9123247861862183,24.82387351989746,0.27060700200362575
gsm8k,23,0.9317816495895386,21.141138076782227,0.27060700200362575
gsm8k,24,0.9436671137809753,18.491392135620117,0.27060700200362575
gsm8k,25,0.9586092829704285,15.322295188903809,0.27060700200362575
gsm8k,26,0.9565113186836243,14.546258926391602,0.27060700200362575
gsm8k,27,0.9630870223045349,12.561483383178711,0.27060700200362575
gsm8k,28,0.9778146743774414,9.519107818603516,0.27060700200362575
gsm8k,29,0.9509589076042175,13.615830421447754,0.27060700200362575
gsm8k,30,0.9477604627609253,14.116003036499023,0.27060700200362575
gsm8k,31,0.94599848985672,14.185686111450195,0.27060700200362575
gsm8k,32,0.49451208114624023,75.37298583984375,0.27060700200362575
mmlu,1,0.36337339878082275,80.59550476074219,0.27784464720342816
mmlu,2,0.8767579793930054,23.386863708496094,0.27784464720342816
mmlu,3,0.8097851276397705,32.235145568847656,0.27784464720342816
mmlu,4,0.852267861366272,31.51597023010254,0.27784464720342816
mmlu,5,0.8891721367835999,28.66102409362793,0.27784464720342816
mmlu,6,0.8605268001556396,32.55663299560547,0.27784464720342816
mmlu,7,0.8571673035621643,32.95864486694336,0.27784464720342816
mmlu,8,0.814577043056488,38.39973449707031,0.27784464720342816
mmlu,9,0.7942721247673035,42.57475280761719,0.27784464720342816
mmlu,10,0.7717981338500977,46.09195327758789,0.27784464720342816
mmlu,11,0.8297631144523621,40.14298629760742,0.27784464720342816
mmlu,12,0.8182103037834167,42.59217834472656,0.27784464720342816
mmlu,13,0.825482189655304,42.51309585571289,0.27784464720342816
mmlu,14,0.8410367965698242,39.677154541015625,0.27784464720342816
mmlu,15,0.8744481801986694,33.58921813964844,0.27784464720342816
mmlu,16,0.8903153538703918,30.99168586730957,0.27784464720342816
mmlu,17,0.8299605250358582,39.24547576904297,0.27784464720342816
mmlu,18,0.8769458532333374,33.695919036865234,0.27784464720342816
mmlu,19,0.8698678016662598,33.947662353515625,0.27784464720342816
mmlu,20,0.8715652227401733,33.28653335571289,0.27784464720342816
mmlu,21,0.8747984766960144,32.84709548950195,0.27784464720342816
mmlu,22,0.8764802813529968,32.05158233642578,0.27784464720342816
mmlu,23,0.8852753043174744,31.007213592529297,0.27784464720342816
mmlu,24,0.8839631676673889,31.40383529663086,0.27784464720342816
mmlu,25,0.9088917374610901,27.363182067871094,0.27784464720342816
mmlu,26,0.9166478514671326,25.346471786499023,0.27784464720342816
mmlu,27,0.9153522253036499,25.215538024902344,0.27784464720342816
mmlu,28,0.9329030513763428,22.00034523010254,0.27784464720342816
mmlu,29,0.918821394443512,23.72854995727539,0.27784464720342816
mmlu,30,0.9092479944229126,24.61833381652832,0.27784464720342816
mmlu,31,0.9174383878707886,22.695581436157227,0.27784464720342816
mmlu,32,0.49648526310920715,78.33698272705078,0.27784464720342816
strategyqa,1,0.2702360153198242,85.05606842041016,0.2750557178406605
strategyqa,2,0.8896158337593079,21.979141235351562,0.2750557178406605
strategyqa,3,0.7457799911499023,37.849796295166016,0.2750557178406605
strategyqa,4,0.8424022197723389,33.515342712402344,0.2750557178406605
strategyqa,5,0.8807322978973389,30.799604415893555,0.2750557178406605
strategyqa,6,0.8285232186317444,37.8345947265625,0.2750557178406605
strategyqa,7,0.8321943879127502,37.75208282470703,0.2750557178406605
strategyqa,8,0.799798846244812,41.92285919189453,0.2750557178406605
strategyqa,9,0.796648383140564,43.15304946899414,0.2750557178406605
strategyqa,10,0.7809396386146545,45.467376708984375,0.2750557178406605
strategyqa,11,0.8306056261062622,40.12479782104492,0.2750557178406605
strategyqa,12,0.8293863534927368,40.814674377441406,0.2750557178406605
strategyqa,13,0.8152270317077637,42.90404510498047,0.2750557178406605
strategyqa,14,0.8411394953727722,38.77762985229492,0.2750557178406605
strategyqa,15,0.8603453040122986,35.20095443725586,0.2750557178406605
strategyqa,16,0.8821246027946472,32.62411880493164,0.2750557178406605
strategyqa,17,0.8153574466705322,41.794742584228516,0.2750557178406605
strategyqa,18,0.8713183999061584,35.220184326171875,0.2750557178406605
strategyqa,19,0.8699533343315125,34.51528549194336,0.2750557178406605
strategyqa,20,0.8689877986907959,34.061397552490234,0.2750557178406605
strategyqa,21,0.8708901405334473,34.016258239746094,0.2750557178406605
strategyqa,22,0.8857489824295044,31.344375610351562,0.2750557178406605
strategyqa,23,0.8939832448959351,29.766162872314453,0.2750557178406605
strategyqa,24,0.8966690897941589,29.360990524291992,0.2750557178406605
strategyqa,25,0.9124510288238525,26.65190315246582,0.2750557178406605
strategyqa,26,0.921656608581543,24.378488540649414,0.2750557178406605
