subject,n_samples,accuracy,mean_prompt_tokens,mean_completion_tokens,mean_target_margin,mean_target_prob,mean_target_rank
abstract_algebra,12,0.5,91.33333333333333,81.0,-15.994791666666666,4.6767023305823347e-07,804.6666666666666
college_mathematics,12,0.25,107.0,81.0,-14.328125,1.5396267076065822e-06,790.8333333333334
formal_logic,12,0.16666666666666666,130.5,81.0,-14.895833333333334,7.398170953631933e-07,756.4166666666666
gsm8k,30,0.16666666666666666,69.43333333333334,79.86666666666666,-10.045833333333333,3.821989054131336e-05,169.5
high_school_mathematics,12,0.08333333333333333,104.25,81.0,-14.294270833333334,6.085780116886023e-07,727.5
logical_fallacies,12,0.5833333333333334,100.75,81.0,-12.908854166666666,2.502771932218669e-06,469.4166666666667
strategyqa,30,0.5,25.2,81.0,-11.035416666666666,3.4688299050837185e-05,576.6333333333333
