layer,task_a,task_b,subspace_overlap,centroid_cosine,explained_var_a,explained_var_b
22,strategyqa,mmlu,0.16943019705367648,0.8945351882253365,1.0,1.0
23,gsm8k,strategyqa,0.030526640039830383,0.7534995130407472,0.9999999999999999,1.0
23,gsm8k,mmlu,0.0846303389854467,0.9241063180460201,0.9999999999999999,1.0
23,strategyqa,mmlu,0.15287742172218624,0.8960469538953983,1.0,1.0
24,gsm8k,strategyqa,0.025509181553028764,0.7694281321261284,0.9999999999999998,1.0
24,gsm8k,mmlu,0.0848564667710632,0.929331408196814,0.9999999999999998,1.0
24,strategyqa,mmlu,0.1328235820919246,0.8978701001436339,1.0,1.0
25,gsm8k,strategyqa,0.025960176590621928,0.7965433077099452,0.9999999999999999,1.0
25,gsm8k,mmlu,0.09631876109623898,0.9387954050322711,0.9999999999999999,1.0
25,strategyqa,mmlu,0.11640741557154685,0.9055530871763213,1.0,1.0
26,gsm8k,strategyqa,0.025347672806091792,0.8141607515221057,0.9999999999999999,1.0
26,gsm8k,mmlu,0.10323619696945609,0.9445310548508035,0.9999999999999999,1.0
26,strategyqa,mmlu,0.10086381869284344,0.9101476789500221,1.0,1.0
27,gsm8k,strategyqa,0.02327057408180838,0.8329304286011391,1.0,1.0
27,gsm8k,mmlu,0.1052636969638634,0.9514629519945371,1.0,1.0
27,strategyqa,mmlu,0.09516725410569479,0.9157720177576071,1.0,1.0
28,gsm8k,strategyqa,0.0226313308672171,0.8443091319394593,1.0,1.0
28,gsm8k,mmlu,0.1065865266127028,0.9566974384059058,1.0,1.0
28,strategyqa,mmlu,0.08537240301052942,0.9168940248246094,1.0,1.0
29,gsm8k,strategyqa,0.023110363736078433,0.9464703432849131,1.0,1.0
29,gsm8k,mmlu,0.09645383312343672,0.9687784064115417,1.0,1.0
29,strategyqa,mmlu,0.12021248061059385,0.9660423093092453,1.0,1.0
30,gsm8k,strategyqa,0.034266887967609336,0.9551981618865447,1.0,1.0
30,gsm8k,mmlu,0.11711783426228506,0.9746299062366715,1.0,1.0
30,strategyqa,mmlu,0.11816839763167314,0.970191568804081,1.0,1.0
31,gsm8k,strategyqa,0.06089565394106194,0.9770451879163333,0.9999999999999982,0.9999999999999981
31,gsm8k,mmlu,0.1323089766324859,0.9819915649440235,0.9999999999999982,0.9999999999999994
31,strategyqa,mmlu,0.09766574070535507,0.9835267362512518,0.9999999999999981,0.9999999999999994
